NMEA|NMEA|NMEA|MSG|REPEAT|MMSI|SEQNO|DEST|RETRANS|DAC|FID|SUB
!AIVDM,3,1,5,A,604759IVhTpF04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*37|!AIVDM,3,2,5,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*5A|!AIVDM,3,3,5,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*19|6|0|4310309|2|431002501|1|1|0|
|!AIVDM,2,1,0,A,60474huVhcsH04003hPtdd4T@v1LD5@PE;p5B3;7c;F0E8TltlU<4dV1LqN378,0*4A|!AIVDM,2,2,0,A,nu>3733<Q060PDTLQB1D,0*06|6|0|4310211|3|431009718|0|1|0|
!AIVDM,3,1,9,A,604759MVhaEN04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*37|!AIVDM,3,2,9,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*56|!AIVDM,3,3,9,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*15|6|0|4310309|3|431007063|1|1|0|
!AIVDM,3,1,0,A,604759EVhe3F04003hd5<PTl60P588uE;r0TpHu8l5@Ttr3b1@PF0<P59@DB,0*4C|!AIVDM,3,2,0,A,0@E1@R0tJ048uEB37NsJ0lEA8Fr0Tr1HT<TpUAV0tJ3?FoGFo7:sHr37C2oC,0*5F|!AIVDM,3,3,0,A,2oGNsTFr3?FoGFo3Ns@r37C2oC6o3>s@Fp0,2*1C|6|0|4310309|1|431010869|1|1|0|
!AIVDM,3,1,8,A,604759iVp<LD04003i@teTv0l59@U?pTpHvr1LD5@PE:0tl4E<4dV1@TlF3;,0*26|!AIVDM,3,2,8,A,7c;F1LTpB1N37:0nu>0U8u<4dV1@TlF3;7c;F1LTpB1LqN3B0nu>37374Q06,0*1B|!AIVDM,3,3,8,A,00,4*1A|6|0|4310311|0|431501765|0|1|0|
!AIVDM,3,1,0,A,604759iVp<LF04003i@teTv0l59@U?pTpHvr1LD5@PE:0tl4E<4dV1@TlF3;,0*2C|!AIVDM,3,2,0,A,7c;F1LTpB1N37:0nu>0U8u<4dV1@TlF3;7c;F1LTpB1LqN3B0nu>37374Q06,0*13|!AIVDM,3,3,0,A,00,4*12|6|0|4310311|0|431501765|1|1|0|
!AIVDM,3,1,2,A,604759iVp<LF04003i@teTv0l59@U?pTpHvr1LD5@PE:0tl4E<4dV1@TlF3;,0*2E|!AIVDM,3,2,2,A,7c;F1LTpB1N37:0nu>0U8u<4dV1@TlF3;7c;F1LTpB1LqN3B0nu>37374Q06,0*11|!AIVDM,3,3,2,A,00,4*10|6|0|4310311|0|431501765|1|1|0|
!AIVDM,3,1,0,A,604759mVp<LD04003i@teTv0l59@U?pTpHvr1LD5@PE:0tl4E<4dV1@TlF3;,0*2A|!AIVDM,3,2,0,A,7c;F1LTpB1N37:0nu>0U8u<4dV1@TlF3;7c;F1LTpB1LqN3B0nu>37374Q06,0*13|!AIVDM,3,3,0,A,00,4*12|6|0|4310311|1|431501765|0|1|0|
!AIVDM,3,1,9,A,604757eVhfpP04003i@teTv0l59@U?pTpHvr3>1HU9AD4j04U>08D4<t,0*54|!AIVDM,3,2,9,A,q>058uDpB1<uE@R0tJ1E84L61A:r04I@E:0hD5HTpN1A:j1<uE@P8uDp,0*79|!AIVDM,3,3,9,A,B1HE=<Di>0mE=B0dDE21@PDn0tr10u9B1<T@Fp0,2*5C|6|0|4310302|3|431012744|0|1|0|
!AIVDM,3,1,8,A,604757aVhUr@04003i@teTv0l59@U?pTpHu8l5@Ttrr1HE=<Di>08uDp,0*7B|!AIVDM,3,2,8,A,B0Hu:1TtdtP4l61W:04p<Pu84LF0mE=B118t<DDB0Tr1E84L62J0p4d6,0*7D|!AIVDM,3,3,8,A,lpvm<F1Bu:p,2*2D|6|0|4310302|2|431003556|0|1|0|
!AIVDM,3,1,5,A,604757aVhUrB04003i@teTv0l59@U?pTpHu8l5@Ttrr1HE=<Di>08uDp,0*74|!AIVDM,3,2,5,A,B0Hu:1TtdtP4l61W:04p<Pu84LF0mE=B118t<DDB0Tr1E84L62J0p4d6,0*70|!AIVDM,3,3,5,A,lpvm<F1Bu:p,2*20|6|0|4310302|2|431003556|1|1|0|
||!AIVDM,1,1,,A,63QETN1DwjO0040004U>1@E=B10i>04<f1AT,0*36|6|0|236283000|0|356502000|0|1|0|
!AIVDM,3,1,0,A,604757eVhUr@04003i@teTv0l59@U?pTpHu8l5@Ttrr20@4TpTd4TPv0,0*04|!AIVDM,3,2,0,A,hTLQ@PuE<F0Tr10u<U@Ttr2S?Fo7RsLr37?VoCBsDFV0U>1DphUB0puN,0*54|!AIVDM,3,3,0,A,r20DlE8LDp=V0hTLQB1AE8q>0trr210hD5<F105V05A@Dq@Ttrp,2*16|6|0|4310302|3|431003556|0|1|0|
!AIVDM,3,1,0,A,604757UVho4J04003i@teTv0l59@U?pTpHvr3>1HU9AD4j04U>08D4<t,0*3A|!AIVDM,3,2,0,A,q>058uDpB1<uE@R0tJ1E84L61A:r04I@E:0hD5HTpN1A:j1<uE@P8uDp,0*70|!AIVDM,3,3,0,A,B1HE=<Di>0mE=B0dDE21@PDn0tr10u9B1<T@Fp0,2*55|6|0|4310302|1|431021126|1|1|0|
!AIVDM,3,1,9,A,604759AVj50`04003i@teTv0l59@U?pTpHvr1LD5@PE:0d5A=EE861@TlF3;,0*34|!AIVDM,3,2,9,A,7c;F1LTpB0qN3J0nu>0pt`Tl5`4dV1@TlF3;7c;F1LTpB0pqN3N0nu>37370,0*62|!AIVDM,3,3,9,A,Q04,2*48|6|0|4310309|0|431100938|0|1|0|
!AIVDM,3,1,7,A,60477MmW500P04000OR3hpTTL5@7r0TpHwb1@PF0@E1@R0Tr1@PF10u9,0*49|!AIVDM,3,2,7,A,B0l5V08F1<P4hhuLE:1@P4r1<PuLr0tr1@PF0<P59Br0p5HTL5@F1LU@,0*32|!AIVDM,3,3,7,A,R0<5E@Ttrp0,2*6F|6|0|4310903|1|432341000|0|1|0|
!AIVDM,3,1,8,A,60477MmW500R04000OR3hpTTL5@7r0TpHwb1@PF0@E1@R0Tr1@PF10u9,0*44|!AIVDM,3,2,8,A,B0l5V08F1<P4hhuLE:1@P4r1<PuLr0tr1@PF0<P59Br0p5HTL5@F1LU@,0*3D|!AIVDM,3,3,8,A,R0<5E@Ttrp0,2*60|6|0|4310903|1|432341000|1|1|0|
|!AIVDM,2,1,1,A,60474hlrT4u004003hPtdd4T@v1LD5@PE;p5B3;7c;F0E8TltlU<4dV1LqN378,0*63|!AIVDM,2,2,1,A,nu>3733<Q060PDTLQB1D,0*07|6|0|4310211|1|245634000|0|1|0|
!AIVDM,3,1,7,A,6047589VhSQD04003i@teTv0l59@U?r1@teTv1L4rj0<PT860dvj1<D=,0*56|!AIVDM,3,2,7,A,@Ttr3Bj1Dp@E9L5@E:0t9=A9D=@Ttrj04r04p<Pu:0<P4Trj18E0u9@D,0*6E|!AIVDM,3,3,7,A,B1@v0EPU=B0Tr1HT<TpUAV0tJ3?Fo?>o3Pr37C2o3:o3HFp,2*5D|6|0|4310304|2|431001109|0|1|0|
!AIVDM,3,1,1,A,604758AViUlP04003i@teTv0l59@U?pTpHvr1LD5@PE:0UaDtQ<PTl61@TlF,0*2E|!AIVDM,3,2,1,A,3;7cC21LTpB0DpF3J0nu>0pt`Tl5<4dV1@TlF3;7c;F1LTpB0pqN3N0nu>37,0*4B|!AIVDM,3,3,1,A,370Q040,2*44|6|0|4310305|0|431069000|0|1|0|
!AIVDM,3,1,2,A,604758AViUlR04003i@teTv0l59@U?pTpHvr1LD5@PE:0UaDtQ<PTl61@TlF,0*2F|!AIVDM,3,2,2,A,3;7cC21LTpB0DpF3J0nu>0pt`Tl5<4dV1@TlF3;7c;F1LTpB0pqN3N0nu>37,0*48|!AIVDM,3,3,2,A,370Q040,2*47|6|0|4310305|0|431069000|1|1|0|
!AIVDM,3,1,9,A,604758AViUlR04003i@teTv0l59@U?pTpHvr1LD5@PE:0UaDtQ<PTl61@TlF,0*24|!AIVDM,3,2,9,A,3;7cC21LTpB0DpF3J0nu>0pt`Tl5<4dV1@TlF3;7c;F1LTpB0pqN3N0nu>37,0*43|!AIVDM,3,3,9,A,370Q040,2*4C|6|0|4310305|0|431069000|1|1|0|
!AIVDM,3,1,2,A,604757bG`rn`04003i@teTv0l59@U?pTpHvr3>1HU9AD4j04U>08D4<t,0*7B|!AIVDM,3,2,2,A,q>058uDpB1<uE@R0tJ1E84L61A:r04I@E:0hD5HTpN1A:j1<uE@P8uDp,0*72|!AIVDM,3,3,2,A,B1HE=<Di>0mE=B0dDE21@PDn0tr10u9B1<T@Fp0,2*57|6|0|4310302|2|636021610|0|1|0|
!AIVDM,3,1,6,A,604758EViUlP04003i@teTv0l59@U?pTpHvr1LD5@PE:0UaDtQ<PTl61@TlF,0*2D|!AIVDM,3,2,6,A,3;7cC21LTpB0DpF3J0nu>0pt`Tl5<4dV1@TlF3;7c;F1LTpB0pqN3N0nu>37,0*4C|!AIVDM,3,3,6,A,370Q040,2*43|6|0|4310305|1|431069000|0|1|0|
!AIVDM,3,1,9,A,604758EViUlR04003i@teTv0l59@U?pTpHvr1LD5@PE:0UaDtQ<PTl61@TlF,0*20|!AIVDM,3,2,9,A,3;7cC21LTpB0DpF3J0nu>0pt`Tl5<4dV1@TlF3;7c;F1LTpB0pqN3N0nu>37,0*43|!AIVDM,3,3,9,A,370Q040,2*4C|6|0|4310305|1|431069000|1|1|0|
!AIVDM,3,1,4,A,604758EViUlR04003i@teTv0l59@U?pTpHvr1LD5@PE:0UaDtQ<PTl61@TlF,0*2D|!AIVDM,3,2,4,A,3;7cC21LTpB0DpF3J0nu>0pt`Tl5<4dV1@TlF3;7c;F1LTpB0pqN3N0nu>37,0*4E|!AIVDM,3,3,4,A,370Q040,2*41|6|0|4310305|1|431069000|1|1|0|
|!AIVDM,2,1,5,A,60474hiVhqb804000W>3i<PTtL4l7s;7c;ELD5@PE:1<PU8UT60qN37Dn1L5HF,0*0D|!AIVDM,2,2,5,A,0PDTLQADpdpuLpn3;7c;,0*5F|6|0|4310211|0|431023778|0|1|0|
!AIVDM,3,1,6,A,604758:6@K?004003i@teTv0l59@U?r1@teTv1L4rj0<PT860dvj1<D=,0*1E|!AIVDM,3,2,6,A,@Ttr3Bj1Dp@E9L5@E:0t9=A9D=@Ttrj04r04p<Pu:0<P4Trj18E0u9@D,0*6F|!AIVDM,3,3,6,A,B1@v0EPU=B0Tr1HT<TpUAV0tJ3?Fo?>o3Pr37C2o3:o3HFp,2*5C|6|0|4310304|2|563113200|0|1|0|
!AIVDM,3,1,3,A,604759iVhR`404003i@teTv0l59@U?pTpHvr1LD5@PE:0tl4E<4dV1@TlF3;,0*07|!AIVDM,3,2,3,A,7c;F1LTpB1N37:0nu>0U8u<4dV1@TlF3;7c;F1LTpB1LqN3B0nu>37374Q06,0*10|!AIVDM,3,3,3,A,00,4*11|6|0|4310311|0|431000193|0|1|0|
|!AIVDM,2,1,9,A,60474hiVhUtd04003hPtdd4T@v1LD5@PE;p5B3;7c;F0l5A=Dl4F1LqN37<nu>,0*2E|!AIVDM,2,2,9,A,3733PQ062j0tPl5<4dV0,0*03|6|0|4310211|0|431003595|0|1|0|
|!AIVDM,2,1,3,B,6>jO``00Ud7`04001Td`h0=l1T0lRT9qpa8Hd0Aw2@0EK2@N`3@P0000004p,0*31|!AIVDM,2,2,3,B,P1D28@l?`Fl1HBhE`El1JBH1CDp0:;D0LL80,0*45|6|0|992471200|0|2470010|0|1|0|
!AIVDM,3,1,8,A,604757QVhWc@04003i@teTv0l59@U?pTpHu8l5@Ttrr20@4TpTd4TPv0,0*2B|!AIVDM,3,2,8,A,hTLQ@PuE<F0Tr10u<U@Ttr2S?Fo7RsLr37?VoCBsDFV0U>1DphUB0puN,0*5C|!AIVDM,3,3,8,A,r20DlE8LDp=V0hTLQB1AE8q>0trr210hD5<F105V05A@Dq@Ttrp,2*1E|6|0|4310302|0|431005364|0|1|0|
||!AIVDM,1,1,,A,6@2:Lu0mpUU8048j=h0000000000,0*77|6|1|2268404|0|226006610|0|1|2|
||!AIVDM,1,1,,A,6@2:LuA09OP0048j=h0000000000,0*05|6|1|2268405|0|269057536|0|1|2|
||!AIVDM,1,1,,A,6@2:LtQ09O0D048j=h0000000000,0*00|6|1|2268402|0|269057029|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPrEmB0048j=h0000000000,0*1B|6|1|2268402|0|244700448|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0jMiD0048j=h0000000000,0*68|6|1|2268404|0|211666240|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPjMiD0048j=h0000000000,0*09|6|1|2268402|0|211666240|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0mpVp@048j=h0000000000,0*29|6|1|2268404|0|226007940|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPmpeb0048j=h0000000000,0*19|6|1|2268402|0|226014880|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu109O6P048j=h0000000000,0*73|6|1|2268404|0|269057128|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPrEmkH048j=h0000000000,0*4A|6|1|2268402|0|244700982|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu@rE=n8048j=h0000000000,0*7E|6|1|2268405|0|244660066|0|1|2|
||!AIVDM,1,1,,A,6@2:LtQ09O6P048j=h0000000000,0*12|6|1|2268402|0|269057128|0|1|2|
||!AIVDM,1,1,,A,6@2:LtQ09OaL048j=h0000000000,0*59|6|1|2268402|0|269057687|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0mpU>`048j=h0000000000,0*44|6|1|2268404|0|226006250|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPjF?;8048j=h0000000000,0*23|6|1|2268402|0|211172530|0|1|2|
||!AIVDM,1,1,,A,6@2:Ml1<63ph048j=h0000000000,0*6A|6|1|2268624|0|319164300|0|1|2|
||!AIVDM,1,1,,A,6@2:LtQ09OEH048j=h0000000000,0*79|6|1|2268402|0|269057366|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPrFL;4048j=h0000000000,0*44|6|1|2268402|0|244740273|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0jKP4H048j=h0000000000,0*5F|6|1|2268404|0|211517510|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPnBgDP048j=h0000000000,0*6C|6|1|2268402|0|227720520|0|1|2|
||!AIVDM,1,1,,A,6>jHDEGdV55@0480000000000000,0*34|6|0|992351317|1|992351316|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0n971H048j=h0000000000,0*4B|6|1|2268404|0|227089430|0|1|2|
||!AIVDM,1,1,,A,6@2Oju@vAHkt048j=h0000000000,0*11|6|1|2618101|0|261186367|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPrE4tT048j=h0000000000,0*10|6|1|2268402|0|244650953|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPr<QTH048j=h0000000000,0*30|6|1|2268402|0|244090438|0|1|2|
||!AIVDM,1,1,,A,6@2:LKPmpU<h048j=h0000000000,0*10|6|1|2268270|0|226006220|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPhwgI8048j=h0000000000,0*3A|6|1|2268402|0|205503890|0|1|2|
||!AIVDM,1,1,,A,6@2:LShoDqqT048j=h0000000000,0*53|6|1|2268303|0|232056729|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPrE>H8048j=h0000000000,0*4A|6|1|2268402|0|244660610|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0rHfnD048j=h0000000000,0*24|6|1|2268404|0|244890469|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0mpWSH048j=h0000000000,0*03|6|1|2268404|0|226008630|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu@hwKb`048j=h0000000000,0*74|6|1|2268405|0|205483690|0|1|2|
||!AIVDM,1,1,,A,6@2:Ml0nJDh0048j=h0000000000,0*72|6|1|2268624|0|228217600|0|1|2|
||!AIVDM,1,1,,A,6@2:Kn0ro1n0048j=h0000000000,0*3C|6|1|2268120|0|246876000|0|1|2|
||!AIVDM,1,1,,A,6@2:LShtDNED048j=h0000000000,0*53|6|1|2268303|0|253000021|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPmpUVH048j=h0000000000,0*65|6|1|2268402|0|226006630|0|1|2|
||!AIVDM,1,1,,A,6@2:LtQ09OPL048j=h0000000000,0*68|6|1|2268402|0|269057543|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPi0ur8048j=h0000000000,0*55|6|1|2268402|0|205584290|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPjMfCP048j=h0000000000,0*61|6|1|2268402|0|211663160|0|1|2|
||!AIVDM,1,1,,A,6@2:Kn0ioD90048j=h0000000000,0*05|6|1|2268120|0|209146000|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPrEm04048j=h0000000000,0*6D|6|1|2268402|0|244700161|0|1|2|
||!AIVDM,1,1,,A,6@2:LtQ09O74048j=h0000000000,0*77|6|1|2268402|0|269057137|0|1|2|
||!AIVDM,1,1,,A,6@2:LuA09ORP048j=h0000000000,0*67|6|1|2268405|0|269057576|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu109OPp048j=h0000000000,0*35|6|1|2268404|0|269057550|0|1|2|
||!AIVDM,1,1,,A,6@2:Ml0oDSMt048j=h0000000000,0*0B|6|1|2268624|0|232033759|0|1|2|
||!AIVDM,1,1,,A,6@2:LShmpVCH048j=h0000000000,0*6C|6|1|2268303|0|226007350|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0mp`t8048j=h0000000000,0*63|6|1|2268404|0|226010050|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0n=ow<048j=h0000000000,0*25|6|1|2268404|0|227401715|0|1|2|
||!AIVDM,1,1,,A,6@2:Kn0hvCOp048j=h0000000000,0*2C|6|1|2268120|0|205409790|0|1|2|
||!AIVDM,1,1,,A,6@2:LKPmpW<@048j=h0000000000,0*3A|6|1|2268270|0|226008260|0|1|2|
||!AIVDM,1,1,,A,6@2:Kn0mpO@h048j=h0000000000,0*34|6|1|2268120|0|226000140|0|1|2|
||!AIVDM,1,1,,A,6@2:LShrEcP`048j=h0000000000,0*48|6|1|2268303|0|244690442|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0r;NbT048j=h0000000000,0*63|6|1|2268404|0|244021929|0|1|2|
||!AIVDM,1,1,,A,6@2:Kn0hsDU8048j=h0000000000,0*7C|6|1|2268120|0|205214290|0|1|2|
||!AIVDM,1,1,,A,6@2:LKPmph6p048j=h0000000000,0*3F|6|1|2268270|0|226017390|0|1|2|
||!AIVDM,1,1,,A,6@2:Kn1:9OSL048j=h0000000000,0*1C|6|1|2268120|0|311000631|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0jFHU`048j=h0000000000,0*03|6|1|2268404|0|211182170|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0n8M4H048j=h0000000000,0*35|6|1|2268404|0|227046470|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPtH;8`048j=h0000000000,0*6C|6|1|2268402|0|253242506|0|1|2|
||!AIVDM,1,1,,A,6@2:L;hmpTJ8048j=h0000000000,0*7F|6|1|2268207|0|226005410|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPjL;uh048j=h0000000000,0*33|6|1|2268402|0|211562460|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPr;gLT048j=h0000000000,0*05|6|1|2268402|0|244039113|0|1|2|
||!AIVDM,1,1,,A,6@2:LShhur=8048j=h0000000000,0*46|6|1|2268303|0|205383890|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0nBtP@048j=h0000000000,0*1A|6|1|2268404|0|227734020|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPvvl?`048j=h0000000000,0*00|6|1|2268402|0|264163578|0|1|2|
||!AIVDM,1,1,,A,6@2:L;hmpau8048j=h0000000000,0*75|6|1|2268207|0|226011090|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0jMfpH048j=h0000000000,0*2B|6|1|2268404|0|211663750|0|1|2|
||!AIVDM,1,1,,B,602a4Ka29ht00480J0,4*3B|6|0|2770030|2|277464000|0|1|2|
||!AIVDM,1,1,,A,6@2:LtQ09ORP048j=h0000000000,0*76|6|1|2268402|0|269057576|0|1|2|
||!AIVDM,1,1,,A,6@2:Ml0n=l=0048j=h0000000000,0*78|6|1|2268624|0|227397840|0|1|2|
||!AIVDM,1,1,,B,602a4Ka29ht20480J0,4*39|6|0|2770030|2|277464000|1|1|2|
||!AIVDM,1,1,,A,6@2:LtPtH;0H048j=h0000000000,0*4C|6|1|2268402|0|253242374|0|1|2|
||!AIVDM,1,1,,A,6@2:LShtH;3T048j=h0000000000,0*4C|6|1|2268303|0|253242425|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu@r=u9<048j=h0000000000,0*1D|6|1|2268405|0|244184211|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPjMmb8048j=h0000000000,0*23|6|1|2268402|0|211670690|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPi0vIH048j=h0000000000,0*1D|6|1|2268402|0|205584790|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPjMl9p048j=h0000000000,0*31|6|1|2268402|0|211669150|0|1|2|
||!AIVDM,1,1,,A,6@2Oju@v>S`P048j=h0000000000,0*5A|6|1|2618101|0|261000840|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPjM@`h048j=h0000000000,0*5C|6|1|2268402|0|211632780|0|1|2|
||!AIVDM,1,1,,A,6@2:LtQ09Oat048j=h0000000000,0*61|6|1|2268402|0|269057695|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPjJeep048j=h0000000000,0*63|6|1|2268402|0|211465950|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0rE4mt048j=h0000000000,0*48|6|1|2268404|0|244650847|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPjK;Ip048j=h0000000000,0*10|6|1|2268402|0|211496350|0|1|2|
||!AIVDM,1,1,,A,6@2Oju@vADS0048j=h0000000000,0*61|6|1|2618101|0|261182000|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPmphB8048j=h0000000000,0*3C|6|1|2268402|0|226017570|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPrGPnL048j=h0000000000,0*74|6|1|2268402|0|244810599|0|1|2|
||!AIVDM,1,1,,B,602a4KQDSI6P0480J0,4*14|6|0|2770030|0|354641000|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu@jI`t`048j=h0000000000,0*75|6|1|2268405|0|211395530|0|1|2|
||!AIVDM,1,1,,A,6@2:Kn0rNSL0048j=h0000000000,0*5D|6|1|2268120|0|245272000|0|1|2|
||!AIVDM,1,1,,A,6@2:Kn0hse5p048j=h0000000000,0*75|6|1|2268120|0|205239390|0|1|2|
||!AIVDM,1,1,,A,6@2:Ml0n9vSh048j=h0000000000,0*50|6|1|2268624|0|227146300|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPjMdhh048j=h0000000000,0*70|6|1|2268402|0|211661580|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPrEm>t048j=h0000000000,0*23|6|1|2268402|0|244700399|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPjI`t`048j=h0000000000,0*64|6|1|2268402|0|211395530|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu109OV`048j=h0000000000,0*23|6|1|2268404|0|269057642|0|1|2|
||!AIVDM,1,1,,A,6@2:LKPmpi>h048j=h0000000000,0*2E|6|1|2268270|0|226018540|0|1|2|
||!AIVDM,1,1,,A,6@2:LtQ09OA@048j=h0000000000,0*75|6|1|2268402|0|269057300|0|1|2|
||!AIVDM,1,1,,A,6@2:Kn18n530048j=h0000000000,0*2F|6|1|2268120|0|305534000|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0jMi=8048j=h0000000000,0*19|6|1|2268404|0|211666130|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPrEGsT048j=h0000000000,0*64|6|1|2268402|0|244670393|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0rE4q@048j=h0000000000,0*60|6|1|2268404|0|244650900|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPrE4q@048j=h0000000000,0*01|6|1|2268402|0|244650900|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0jMhkP048j=h0000000000,0*26|6|1|2268404|0|211665720|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu109O74048j=h0000000000,0*16|6|1|2268404|0|269057137|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0mphj0048j=h0000000000,0*7D|6|1|2268404|0|226018080|0|1|2|
||!AIVDM,1,1,,A,6@2:LtQ09OaP048j=h0000000000,0*45|6|1|2268402|0|269057688|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu109Nch048j=h0000000000,0*1F|6|1|2268404|0|269056700|0|1|2|
||!AIVDM,1,1,,A,6@2:L;hmpP40048j=h0000000000,0*0D|6|1|2268207|0|226000960|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPrEm5l048j=h0000000000,0*30|6|1|2268402|0|244700253|0|1|2|
||!AIVDM,1,1,,A,6@2:Ml0r=wR`048j=h0000000000,0*40|6|1|2268624|0|244186666|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu109OlP048j=h0000000000,0*29|6|1|2268404|0|269057864|0|1|2|
||!AIVDM,1,1,,A,6@2:LShrEHGT048j=h0000000000,0*40|6|1|2268303|0|244670841|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0rEvgL048j=h0000000000,0*38|6|1|2268404|0|244710135|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPjMiD`048j=h0000000000,0*59|6|1|2268402|0|211666250|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPjO1FP048j=h0000000000,0*31|6|1|2268402|0|211748200|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPr;NbT048j=h0000000000,0*02|6|1|2268402|0|244021929|0|1|2|
||!AIVDM,1,1,,A,6@2:LKPmpdH8048j=h0000000000,0*05|6|1|2268270|0|226013570|0|1|2|
||!AIVDM,1,1,,A,6@2:L;hn9?I`048j=h0000000000,0*05|6|1|2268207|0|227098010|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPrEGTd048j=h0000000000,0*73|6|1|2268402|0|244670027|0|1|2|
||!AIVDM,1,1,,A,6@2:Kn0oDtV`048j=h0000000000,0*27|6|1|2268120|0|232059498|0|1|2|
||!AIVDM,1,1,,A,6@2:Lu0rFLN<048j=h0000000000,0*58|6|1|2268404|0|244740579|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPrFLN<048j=h0000000000,0*39|6|1|2268402|0|244740579|0|1|2|
||!AIVDM,1,1,,A,6@2:LtPn8M4H048j=h0000000000,0*54|6|1|2268402|0|227046470|0|1|2|
||!AIVDM,1,1,,A,6@2:Kn0mpQD`048j=h0000000000,0*26|6|1|2268120|0|226002250|0|1|2|
||!AIVDM,1,1,,B,6>jHDEkdV55@0480000000000000,0*1B|6|0|992351319|0|992351316|0|1|2|
||!AIVDM,1,1,,B,6>jHDEOdV55@0480000000000000,0*3F|6|0|992351317|3|992351316|0|1|2|
||!AIVDM,1,1,,A,6@2:Ml0mpdl@048j=h0000000000,0*1F|6|1|2268624|0|226014020|0|1|2|
||!AIVDM,1,1,,A,6>jHDEkdV55@0480000000000000,0*18|6|0|992351319|0|992351316|0|1|2|
