NMEA|NMEA|NMEA|MSG|REPEAT|MMSI|SEQNO|DEST|RETRANS|DAC|FID|SUB
||!AIVDM,1,1,,B,605GdWF3b?Pp00000@Q00R00jcwwe5`P1U0,2*26|6|0|5631133|1|552222222|0|0|0|1
||!AIVDM,1,1,,A,605Gd`B3b?Pp00000@Ph0R00jCwwe5`P1U0,2*6F|6|0|5631137|0|552222222|0|0|0|1
||!AIVDM,1,1,,A,605Gd`B3b?Pp00000@Ph0R00jCwwe5`P1U0,0*6D|6|0|5631137|0|552222222|0|0|0|1
||!AIVDM,1,1,,B,605GdW>3b?Pp00000@MP0R00jcwwe5`P1U0,2*22|6|0|5631132|3|552222222|0|0|0|1
||!AIVDM,1,1,,A,605GdW63b?Pp00000@MP0R00jcwwe5`P1U0,2*29|6|0|5631132|1|552222222|0|0|0|1
||!AIVDM,1,1,,B,6>jHDF7dV55H000>0000000000h000000000300000000000,0*15|6|0|992351320|1|992351318|0|0|0|3584
||!AIVDM,1,1,,A,6>jHDF?dV55H000>0000000000h000000000300000000000,0*1E|6|0|992351320|3|992351318|0|0|0|3584
||!AIVDM,1,1,,B,6>jHDF3dV55H000>0000000000h000000000300000000000,0*11|6|0|992351320|0|992351318|0|0|0|3584
||!AIVDM,1,1,,B,6>jHDE3dV55L000>o`=v=v`Q@2sPPot8f22hCf23OSOb8:q0,0*09|6|0|992351316|0|992351319|0|0|0|3806
||!AIVDM,1,1,,B,6>jHDE;dV55L000>o`=v=v`Q@2sPPot8f22hCf23OSOb8:q0,0*01|6|0|992351316|2|992351319|0|0|0|3806
||!AIVDM,1,1,,B,6>jHDECdV55H000>p@=wstqu?LkRPowgk`;Wc>@3Ovw>Rf9P,0*41|6|0|992351317|0|992351318|0|0|0|3809
||!AIVDM,1,1,,A,6>jHCQP0V:C00023HEQNP00,2*20|6|0|992351110|0|2500912|0|0|0|33633
||!AIVDM,1,1,,A,6@28nOP0R=Wr03H20RwGUF8b11`O,0*1C|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,B,602;bSh0Rr`v03H4Kh0n18010@1m,0*53|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wp03H3LP183Oh44h2b,0*11|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wr03H3LP183Oh44h2b,0*13|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wr03H3LP183Oh44h2b,0*10|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`t03H5pD2TdK5g,0*25|6|0|2288271|0|2288271|0|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`v03H5pD2TdK5g,0*27|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wp03H4Lh163Jh0Mh2`,0*59|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wp03H4Lh163Jh0Mh2`,0*5A|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wr03H4Lh163Jh0Mh2`,0*5B|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wr03H4Lh163Jh0Mh2`,0*58|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,B,602;bSh0Rr`t03H607UKWh,4*28|6|0|2288271|0|2288271|0|0|54|
||!AIVDM,1,1,,B,602;bSh0Rr`v03H607UKWh,4*2A|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wp03H5pF2Qd;5?,0*2E|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wp03H5pF2Qd;5?,0*2D|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wr03H5pF2Qd;5?,0*2C|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wr03H5pF2Qd;5?,0*2F|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`t03H7Fh2bbeW@oJ2J00@00@,4*3F|6|0|2288271|0|2288271|0|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`v03H7Fh2bbeW@oJ2J00@00@,4*3D|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wp03H6003?,0*22|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wr03H6003?,0*20|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wr03H6003?,0*23|6|1|2242174|0|2242174|1|0|54|
