NMEA|NMEA|NMEA|MSG|REPEAT|MMSI|DAC|FID|
|!AIVDM,2,1,0,A,8@2R5Ph0GhEKv1aVNMC:QPqdeT;nEuF`1Iw@72H43`h:LcwwsAwwnSAe,0*4E|!AIVDM,2,2,0,A,wvwt,0*14|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhEKv1aVNMC:QPqdeT;nEuF`1Iw@72H43`h:LcwwsAwwnSAewvwt,0*7F|8|1|2655619|1|31|
|!AIVDM,2,1,4,A,8@2R5Ph0GhEKv1aVNMC:QPqdeT;nEuF`1Iw@72H43`h:LcwwsAwwnSAe,0*4A|!AIVDM,2,2,4,A,wvwt,0*10|8|1|2655619|1|31|
|!AIVDM,2,1,7,A,8@2R5Ph0GhEKv1aVNMC:QPqdeT;nEuF`1Iw@72H43`h:LcwwsAwwnSAe,0*49|!AIVDM,2,2,7,A,wvwt,0*13|8|1|2655619|1|31|
|!AIVDM,2,1,8,A,8@2R5Ph0GhEKv1aVNMC:QPqdeT;nEuF`1Iw@72H43`h:LcwwsAwwnSAe,0*46|!AIVDM,2,2,8,A,wvwt,0*1C|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhGMtQUJAeC:PH@LSV06EuOwgwl?wnSwe7wvlOwwsAwwnSGmwvwt,0*77|8|1|2655619|1|31|
|!AIVDM,2,1,6,B,8@2R5Ph0GhRrA9eFu=C:P@>gmv06EuOwgwl?,0*4F|!AIVDM,2,2,6,B,wnSwe7wvlOwwsAwwnSGmwvwt,0*79|8|1|2655619|1|31|
|!AIVDM,2,1,0,B,8vjHWT00Gh04G1NBp1C;PhUVnP@EhMVEgwl?wnSwe7wvlOwwsAwwnSGm,0*0C|!AIVDM,2,2,0,B,wvh0,0*4C|8|3|992356240|1|31|
||!AIVDM,1,1,,B,8vjHWT00Gh04G1NBp1C;PhUVnP@EhMVEgwl?wnSwe7wvlOwwsAwwnSGmwvh0,0*66|8|3|992356240|1|31|
|!AIVDM,2,1,1,B,8vjHWT00Gh04G1NBp1C;PhUVnP@EhMVEgwl?wnSwe7wvlOwwsAwwnSGm,0*0D|!AIVDM,2,2,1,B,wvh0,0*4D|8|3|992356240|1|31|
|!AIVDM,2,1,9,B,8vjHWT00Gh04G1NBp1C;PhUVnP@EhMVEgwl?wnSwe7wvlOwwsAwwnSGm,0*05|!AIVDM,2,2,9,B,wvh0,0*45|8|3|992356240|1|31|
|!AIVDM,2,1,5,B,8vjHWT00Gh04G1NBp1C;PhUVnP@EhMVEgwl?wnSwe7wvlOwwsAwwnSGm,0*09|!AIVDM,2,2,5,B,wvh0,0*49|8|3|992356240|1|31|
|!AIVDM,2,1,8,A,8@2R5Ph0GhFJ0i`R1=C:P@=?9r06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*79|!AIVDM,2,2,8,A,wvwt,0*1C|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhFJ0i`R1=C:P@=?9r06EuOwgwl?wnSwe7wvlOwwsAwwnSGmwvwt,0*40|8|1|2655619|1|31|
|!AIVDM,2,1,3,B,8vjHWT00Gh04G1NBp1C;PhUVnP@EhMVEgwl?wnSwe7wvlOwwsAwwnSGm,0*0F|!AIVDM,2,2,3,B,wvh0,0*4F|8|3|992356240|1|31|
|!AIVDM,2,1,6,B,8vjHWT00Gh04G1NBp1C;PhUVnP@EhMVEgwl?wnSwe7wvlOwwsAwwnSGm,0*0A|!AIVDM,2,2,6,B,wvh0,0*4A|8|3|992356240|1|31|
|!AIVDM,2,1,9,A,8@2R5Ph0GhQsvaf:2uC:gwvlFR06EuOwiOl?wnSwe7wvlOwwsAwwnSGm,0*4C|!AIVDM,2,2,9,A,wvwt,0*1D|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhQsvaf:2uC:gwvlFR06EuOwiOl?wnSwe7wvlOwwsAwwnSGmwvwt,0*74|8|1|2655619|1|31|
|!AIVDM,2,1,7,B,8@2R5Ph0GhQsvaf:2uC:gwvlFR06EuOwiOl?,0*29|!AIVDM,2,2,7,B,wnSwe7wvlOwwsAwwnSGmwvwt,0*78|8|1|2655619|1|31|
|!AIVDM,2,1,7,A,8@2R5Ph0GhQsvaf:2uC:gwvlFR06EuOwiOl?wnSwe7wvlOwwsAwwnSGm,0*42|!AIVDM,2,2,7,A,wvwt,0*13|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhS4oAkt8eC:PPJ`m606EuOwgwl?wnSwe7wvlOwwsAwwnSGmwvwt,0*08|8|1|2655619|1|31|
|!AIVDM,2,1,8,A,8@2R5Ph0GhEgA9aWWMC:gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*23|!AIVDM,2,2,8,A,wvwt,0*1C|8|1|2655619|1|31|
|!AIVDM,2,1,3,B,8vjHWQh0Gh04pANBb1C;gwvlFR06EuOwRWl?wnSwe7wvlOwwsAwwnSGm,0*34|!AIVDM,2,2,3,B,wvh0,0*4F|8|3|992356231|1|31|
||!AIVDM,1,1,,B,8vjHWQh0Gh04pANBb1C;gwvlFR06EuOwRWl?wnSwe7wvlOwwsAwwnSGmwvh0,0*5D|8|3|992356231|1|31|
|!AIVDM,2,1,9,B,8vjHWQh0Gh04pANBb1C;gwvlFR06EuOwRWl?wnSwe7wvlOwwsAwwnSGm,0*3E|!AIVDM,2,2,9,B,wvh0,0*45|8|3|992356231|1|31|
|!AIVDM,2,1,7,B,8vjHWQh0Gh04pANBb1C;gwvlFR06EuOwRWl?wnSwe7wvlOwwsAwwnSGm,0*30|!AIVDM,2,2,7,B,wvh0,0*4B|8|3|992356231|1|31|
|!AIVDM,2,1,6,B,8vjHWQh0Gh04pANBb1C;gwvlFR06EuOwRWl?wnSwe7wvlOwwsAwwnSGm,0*31|!AIVDM,2,2,6,B,wvh0,0*4A|8|3|992356231|1|31|
|!AIVDM,2,1,2,B,8vjHWQh0Gh04pANBb1C;gwvlFR06EuOwRWl?wnSwe7wvlOwwsAwwnSGm,0*35|!AIVDM,2,2,2,B,wvh0,0*4E|8|3|992356231|1|31|
|!AIVDM,2,1,1,B,8vjHWQh0Gh04pANBb1C;gwvlFR06EuOwRWl?wnSwe7wvlOwwsAwwnSGm,0*36|!AIVDM,2,2,1,B,wvh0,0*4D|8|3|992356231|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhEUJiaWPEC:QHmlfT<6EuF`MWl>6Rh55@h6BWwwsAwwnSAeqRwt,0*37|8|1|2655619|1|31|
|!AIVDM,2,1,9,A,8@2R5Ph0GhEUJiaWPEC:QHmlfT<6EuF`MWl>6Rh55@h6BWwwsAwwnSAe,0*2D|!AIVDM,2,2,9,A,qRwt,0*3F|8|1|2655619|1|31|
|!AIVDM,2,1,0,A,8@2R5Ph0GhEUJiaWPEC:QHmlfT<6EuF`MWl>6Rh55@h6BWwwsAwwnSAe,0*24|!AIVDM,2,2,0,A,qRwt,0*36|8|1|2655619|1|31|
|!AIVDM,2,1,1,A,8@2R5Ph0GhEUJiaWPEC:QHmlfT<6EuF`MWl>6Rh55@h6BWwwsAwwnSAe,0*25|!AIVDM,2,2,1,A,qRwt,0*37|8|1|2655619|1|31|
|!AIVDM,2,1,5,A,8@2R5Ph0GhEUJiaWPEC:QHmlfT<6EuF`MWl>6Rh55@h6BWwwsAwwnSAe,0*21|!AIVDM,2,2,5,A,qRwt,0*33|8|1|2655619|1|31|
|!AIVDM,2,1,8,A,8@2R5Ph0GhEUJiaWPEC:QHmlfT<6EuF`MWl>6Rh55@h6BWwwsAwwnSAe,0*2C|!AIVDM,2,2,8,A,qRwt,0*3E|8|1|2655619|1|31|
|!AIVDM,2,1,1,A,8@2R5Ph0GhS66Acr?mC:P@<C2H9nEuFb?wl?wnSwe7wvlO0wmCwwnSGm,0*48|!AIVDM,2,2,1,A,wvwt,0*15|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8Njjne00GhI8t1CK5AC;@p`3nPGbQuFcgwl?wnSwe7wvlOwwsAwwnSGmwvh0,0*4F|8|1|992786100|1|31|
|!AIVDM,2,1,8,B,805GdW00GjuoMp2?>h39?wvlFR06EuOwgr1GwnSwe7wvlOwwsAwwnSGm,0*4F|!AIVDM,2,2,8,B,wvh,2*76|8|0|5631132|1|31|
|!AIVDM,2,1,5,B,805GdW00GjuoMp2?>h39?wvlFR06EuOwgr1GwnSwe7wvlOwwsAwwnSGm,0*42|!AIVDM,2,2,5,B,wvh,2*7B|8|0|5631132|1|31|
|!AIVDM,2,1,5,B,8vjHD:h0Gwwsj1R;J1C;gwvlFR06EuOwgrWWwnSwe7wvlOwwsAwwnSGm,0*31|!AIVDM,2,2,5,B,wvh0,0*49|8|3|992351275|1|31|
|!AIVDM,2,1,0,B,8vjHD:h0Gwwsj1R;J1C;gwvlFR06EuOwgrWWwnSwe7wvlOwwsAwwnSGm,0*34|!AIVDM,2,2,0,B,wvh0,0*4C|8|3|992351275|1|31|
|!AIVDM,2,1,9,A,8@2R5Ph0GhGVvQUbQUC:gwvlFR06EuOwgr1awnSwe7wvlOwwsAwwnSGm,0*57|!AIVDM,2,2,9,A,wvwt,0*1D|8|1|2655619|1|31|
|!AIVDM,2,1,6,B,8vjHD:h0Gwwsj1R;J1C;gwvlFR06EuOwgrWWwnSwe7wvlOwwsAwwnSGm,0*32|!AIVDM,2,2,6,B,wvh0,0*4A|8|3|992351275|1|31|
|!AIVDM,2,1,3,B,8vjHD:h0Gwwsj1R;J1C;gwvlFR06EuOwgrWWwnSwe7wvlOwwsAwwnSGm,0*37|!AIVDM,2,2,3,B,wvh0,0*4F|8|3|992351275|1|31|
||!AIVDM,1,1,,B,8@2R5Ph0GhRD9AdbL=C:P89pg606EuOwgwl?wnSwe7wvlOwwsAwwnSGmwvwt,0*18|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhRD9AdbL=C:P89pg606EuOwgwl?wnSwe7wvlOwwsAwwnSGmwvwt,0*1B|8|1|2655619|1|31|
|!AIVDM,2,1,5,A,8@2R5Ph0GhRD9AdbL=C:P89pg606EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*2F|!AIVDM,2,2,5,A,wvwt,0*11|8|1|2655619|1|31|
||!AIVDM,1,1,,B,8vjHWU00Gh2W3AN6a1C;gwvlFP>MlInIgwl?wnSwe7wvlOwwsAwwnSGmwvh0,0*3C|8|3|992356244|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhQ?1A`>K5C:P@=O;p:tquFd3Gl?wnSwe7wvlOwwsAwwnSGmwvwt,0*67|8|1|2655619|1|31|
||!AIVDM,1,1,,B,8vjHWTP0Gh0qNiN>fQC;QHiHnP?mlLnAgwl?wnSwe7wvlOwwsAwwnSGmwvh0,0*75|8|3|992356242|1|31|
|!AIVDM,2,1,3,B,8vjHWTP0Gh0qNiN>fQC;QHiHnP?mlLnAgwl?wnSwe7wvlOwwsAwwnSGm,0*1C|!AIVDM,2,2,3,B,wvh0,0*4F|8|3|992356242|1|31|
|!AIVDM,2,1,7,B,8vjHWTP0Gh0qNiN>fQC;QHiHnP?mlLnAgwl?wnSwe7wvlOwwsAwwnSGm,0*18|!AIVDM,2,2,7,B,wvh0,0*4B|8|3|992356242|1|31|
|!AIVDM,2,1,8,B,8vjHWTP0Gh0qNiN>fQC;QHiHnP?mlLnAgwl?wnSwe7wvlOwwsAwwnSGm,0*17|!AIVDM,2,2,8,B,wvh0,0*44|8|3|992356242|1|31|
|!AIVDM,2,1,6,B,8vjHWTP0Gh0qNiN>fQC;QHiHnP?mlLnAgwl?wnSwe7wvlOwwsAwwnSGm,0*19|!AIVDM,2,2,6,B,wvh0,0*4A|8|3|992356242|1|31|
|!AIVDM,2,1,1,B,8vjHWTP0Gh0qNiN>fQC;QHiHnP?mlLnAgwl?wnSwe7wvlOwwsAwwnSGm,0*1E|!AIVDM,2,2,1,B,wvh0,0*4D|8|3|992356242|1|31|
|!AIVDM,2,1,5,B,8vjHWTP0Gh0qNiN>fQC;QHiHnP?mlLnAgwl?wnSwe7wvlOwwsAwwnSGm,0*1A|!AIVDM,2,2,5,B,wvh0,0*49|8|3|992356242|1|31|
|!AIVDM,2,1,4,B,8vjHWTP0Gh0qNiN>fQC;QHiHnP?mlLnAgwl?wnSwe7wvlOwwsAwwnSGm,0*1B|!AIVDM,2,2,4,B,wvh0,0*48|8|3|992356242|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhE`CIbGSMC:gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGmwvwt,0*78|8|1|2655619|1|31|
|!AIVDM,2,1,2,A,8@2R5Ph0GhDwkib0fMC:gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*17|!AIVDM,2,2,2,A,wvwt,0*16|8|1|2655619|1|31|
|!AIVDM,2,1,6,A,8@2R5Ph0GhDwkib0fMC:gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*13|!AIVDM,2,2,6,A,wvwt,0*12|8|1|2655619|1|31|
|!AIVDM,2,1,9,A,8@2R5Ph0GhG>lAVTmMC:gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*22|!AIVDM,2,2,9,A,wvwt,0*1D|8|1|2655619|1|31|
|!AIVDM,2,1,9,A,8@2R5Ph0GhDwkib0fMC:gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*1C|!AIVDM,2,2,9,A,wvwt,0*1D|8|1|2655619|1|31|
|!AIVDM,2,1,4,A,8@2R5Ph0GhDwkib0fMC:gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*11|!AIVDM,2,2,4,A,wvwt,0*10|8|1|2655619|1|31|
|!AIVDM,2,1,5,A,8@2R5Ph0GhDwkib0fMC:gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*10|!AIVDM,2,2,5,A,wvwt,0*11|8|1|2655619|1|31|
|!AIVDM,2,1,1,A,8@2R5Ph0GhDwkib0fMC:gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*14|!AIVDM,2,2,1,A,wvwt,0*15|8|1|2655619|1|31|
|!AIVDM,2,1,6,A,8@2R5Ph0GhEwDAastEC:gwvlFR06EuOwgr11wnSwe7wvlOwwsAwwnSGm,0*19|!AIVDM,2,2,6,A,wvwt,0*12|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhEwDAastEC:gwvlFR06EuOwgr11wnSwe7wvlOwwsAwwnSGmwvwt,0*2E|8|1|2655619|1|31|
|!AIVDM,2,1,9,A,8@2R5Ph0GhSR4AeJDMC:P@Bin<94auOwgwl?wnSwe7wvlOwwsAwwnSGm,0*5E|!AIVDM,2,2,9,A,wvwt,0*1D|8|1|2655619|1|31|
|!AIVDM,2,1,0,A,8@2R5Ph0GhGKHiVBBEC:gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*63|!AIVDM,2,2,0,A,wvwt,0*14|8|1|2655619|1|31|
||!AIVDM,1,1,,B,8vjHWT@0Gh0TN1N>vAC;R1I>FP@=lMV=gwl?wnSwe7wvlOwwsAwwnSGmwvh0,0*76|8|3|992356241|1|31|
|!AIVDM,2,1,9,B,8vjHWT@0Gh0TN1N>vAC;R1I>FP@=lMV=gwl?wnSwe7wvlOwwsAwwnSGm,0*15|!AIVDM,2,2,9,B,wvh0,0*45|8|3|992356241|1|31|
|!AIVDM,2,1,3,B,8vjHWT@0Gh0TN1N>vAC;R1I>FP@=lMV=gwl?wnSwe7wvlOwwsAwwnSGm,0*1F|!AIVDM,2,2,3,B,wvh0,0*4F|8|3|992356241|1|31|
|!AIVDM,2,1,5,B,8vjHWT@0Gh0TN1N>vAC;R1I>FP@=lMV=gwl?wnSwe7wvlOwwsAwwnSGm,0*19|!AIVDM,2,2,5,B,wvh0,0*49|8|3|992356241|1|31|
|!AIVDM,2,1,6,B,8vjHWT@0Gh0TN1N>vAC;R1I>FP@=lMV=gwl?wnSwe7wvlOwwsAwwnSGm,0*1A|!AIVDM,2,2,6,B,wvh0,0*4A|8|3|992356241|1|31|
|!AIVDM,2,1,2,B,8vjHWT@0Gh0TN1N>vAC;R1I>FP@=lMV=gwl?wnSwe7wvlOwwsAwwnSGm,0*1E|!AIVDM,2,2,2,B,wvh0,0*4E|8|3|992356241|1|31|
|!AIVDM,2,1,0,B,8vjHWT@0Gh0TN1N>vAC;R1I>FP@=lMV=gwl?wnSwe7wvlOwwsAwwnSGm,0*1C|!AIVDM,2,2,0,B,wvh0,0*4C|8|3|992356241|1|31|
|!AIVDM,2,1,1,B,8vjHWT@0Gh0TN1N>vAC;R1I>FP@=lMV=gwl?wnSwe7wvlOwwsAwwnSGm,0*1D|!AIVDM,2,2,1,B,wvh0,0*4D|8|3|992356241|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhDS81bbKUC:gwvlFP>NEuOwgwl?wnSwe7wvlO21GcwwnSAnwvwt,0*08|8|1|2655619|1|31|
|!AIVDM,2,1,8,A,8@2R5Ph0GhDS81bbKUC:gwvlFP>NEuOwgwl?wnSwe7wvlO21GcwwnSAn,0*31|!AIVDM,2,2,8,A,wvwt,0*1C|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhGkJqUqE5C:gwvlFR06EuOwgwl>0k3we7h5hWwwsAwwnSGmwvwt,0*4C|8|1|2655619|1|31|
||!AIVDM,1,1,,B,8@2R5Ph0GhPs1icrhUC:P@BRD@85muFb>R0IwnSwe7wvlOwwsAwwnSGmwvwt,0*4B|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhPs1icrhUC:P@BRD@85muFb>R0IwnSwe7wvlOwwsAwwnSGmwvwt,0*48|8|1|2655619|1|31|
|!AIVDM,2,1,1,A,8@2R5Ph0GhJ=MiUVWUC:PH@@R606EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*6C|!AIVDM,2,2,1,A,wvwt,0*15|8|1|2655619|1|31|
||!AIVDM,1,1,,B,8vjHWTh0Gh19diN?G1C;R9EDFP@5hLn=gwl?wnSwe7wvlOwwsAwwnSGmwvh0,0*4B|8|3|992356243|1|31|
|!AIVDM,2,1,1,B,8vjHWTh0Gh19diN?G1C;R9EDFP@5hLn=gwl?wnSwe7wvlOwwsAwwnSGm,0*20|!AIVDM,2,2,1,B,wvh0,0*4D|8|3|992356243|1|31|
|!AIVDM,2,1,7,B,8vjHWTh0Gh19diN?G1C;R9EDFP@5hLn=gwl?wnSwe7wvlOwwsAwwnSGm,0*26|!AIVDM,2,2,7,B,wvh0,0*4B|8|3|992356243|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhEgA9aWWMC:gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGmwvwt,0*1A|8|1|2655619|1|31|
|!AIVDM,2,1,8,B,8vjHWTh0Gh19diN?G1C;R9EDFP@5hLn=gwl?wnSwe7wvlOwwsAwwnSGm,0*29|!AIVDM,2,2,8,B,wvh0,0*44|8|3|992356243|1|31|
|!AIVDM,2,1,5,B,8vjHWTh0Gh19diN?G1C;R9EDFP@5hLn=gwl?wnSwe7wvlOwwsAwwnSGm,0*24|!AIVDM,2,2,5,B,wvh0,0*49|8|3|992356243|1|31|
|!AIVDM,2,1,1,B,8vjHD:00GwwolQR7AAC;gwvlFR06EuOwgra7wnSwe7wvlOwwsAwwnSGm,0*36|!AIVDM,2,2,1,B,wvh0,0*4D|8|3|992351272|1|31|
|!AIVDM,2,1,4,B,8vjHD:00GwwolQR7AAC;gwvlFR06EuOwgra7wnSwe7wvlOwwsAwwnSGm,0*33|!AIVDM,2,2,4,B,wvh0,0*48|8|3|992351272|1|31|
|!AIVDM,2,1,2,B,8vjHD:00GwwolQR7AAC;gwvlFR06EuOwgra7wnSwe7wvlOwwsAwwnSGm,0*35|!AIVDM,2,2,2,B,wvh0,0*4E|8|3|992351272|1|31|
|!AIVDM,2,1,9,B,8vjHWTh0Gh19diN?G1C;R9EDFP@5hLn=gwl?wnSwe7wvlOwwsAwwnSGm,0*28|!AIVDM,2,2,9,B,wvh0,0*45|8|3|992356243|1|31|
|!AIVDM,2,1,3,A,8@2R5Ph0GhPosicnFMC:gwvlFR06EuOwgr0awnSwe7wvlOwwsAwwnSAQ,0*40|!AIVDM,2,2,3,A,wvwt,0*17|8|1|2655619|1|31|
|!AIVDM,2,1,4,A,8@2R5Ph0GhS66Acr?mC:P@<C2H9nEuFb?wl?wnSwe7wvlO0wmCwwnSGm,0*4D|!AIVDM,2,2,4,A,wvwt,0*10|8|1|2655619|1|31|
|!AIVDM,2,1,0,A,8@2R5Ph0GhGPgaWfkUC:PPEV<j06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*18|!AIVDM,2,2,0,A,wvwt,0*14|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhOI<ah4bmC:PHA89206EuOwgqwiwnSwe7wvlOwwsAwwnSA=wvwt,0*0D|8|1|2655619|1|31|
|!AIVDM,2,1,6,A,8@2R5Ph0GhE@@iaQeUC:Q@if=j06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*20|!AIVDM,2,2,6,A,wvwt,0*12|8|1|2655619|1|31|
|!AIVDM,2,1,1,A,8@2R5Ph0GhE@@iaQeUC:Q@if=j06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*27|!AIVDM,2,2,1,A,wvwt,0*15|8|1|2655619|1|31|
|!AIVDM,2,1,3,A,8@2R5Ph0GhE@@iaQeUC:Q@if=j06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*25|!AIVDM,2,2,3,A,wvwt,0*17|8|1|2655619|1|31|
|!AIVDM,2,1,8,A,8@2R5Ph0GhE@@iaQeUC:Q@if=j06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*2E|!AIVDM,2,2,8,A,wvwt,0*1C|8|1|2655619|1|31|
|!AIVDM,2,1,0,A,8@2R5Ph0GhE@@iaQeUC:Q@if=j06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*26|!AIVDM,2,2,0,A,wvwt,0*14|8|1|2655619|1|31|
|!AIVDM,2,1,2,A,8@2R5Ph0GhE@@iaQeUC:Q@if=j06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*24|!AIVDM,2,2,2,A,wvwt,0*16|8|1|2655619|1|31|
||!AIVDM,1,1,,B,8vjHWSh0Gh2EwANsH1C;gwvlFR06EuOwgrRownSwe7wvlOwwsAwwnSGmwvh0,0*4E|8|3|992356239|1|31|
|!AIVDM,2,1,0,B,8vjHWSh0Gh2EwANsH1C;gwvlFR06EuOwgrRownSwe7wvlOwwsAwwnSGm,0*24|!AIVDM,2,2,0,B,wvh0,0*4C|8|3|992356239|1|31|
|!AIVDM,2,1,7,,8vjHWSh0Gh2EwANsH1C;gwvlFR06EuOwgrRownSwe7wvlOwwsAwwnSGmwv,0*60|!AIVDM,2,2,7,,h0,0*08|8|3|992356239|1|31|
|!AIVDM,2,1,8,,8vjHWSh0Gh2EwANsH1C;gwvlFR06EuOwgrRownSwe7wvlOwwsAwwnSGmwv,0*6F|!AIVDM,2,2,8,,h0,0*07|8|3|992356239|1|31|
||!AIVDM,1,1,,B,8@2R5Ph0GhSeJadmqEC:P@<n6j06EuOwgwl?wnSwe7wvlOwwsAwwnSGmwvwt,0*4F|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhSeJadmqEC:P@<n6j06EuOwgwl?wnSwe7wvlOwwsAwwnSGmwvwt,0*4C|8|1|2655619|1|31|
|!AIVDM,2,1,2,A,8@2R5Ph0GhSeJadmqEC:P@<n6j06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*7F|!AIVDM,2,2,2,A,wvwt,0*16|8|1|2655619|1|31|
|!AIVDM,2,1,2,A,8@2R5Ph0GhG>lAVTmMC:gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*29|!AIVDM,2,2,2,A,wvwt,0*16|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhE`DQbGBmC:gwvlFR06EuOwgwl?wnP1DowvlOwwsAwwnSGmwvwt,0*6A|8|1|2655619|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhNR4AagG=C:gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSARwvwt,0*40|8|1|2655619|1|31|
|!AIVDM,2,1,6,B,8vjHWQP0GwwnfiND1QC;gwvlFR06EuOwgrFgwnSwe7wvlOwwsAwwnSGm,0*62|!AIVDM,2,2,6,B,wvh0,0*4A|8|3|992356230|1|31|
|!AIVDM,2,1,8,A,8@2R5Ph0GhGPgaWfkUC:PPEV<j06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*10|!AIVDM,2,2,8,A,wvwt,0*1C|8|1|2655619|1|31|
||!AIVDM,1,1,,B,8vjHWQP0GwwnfiND1QC;gwvlFR06EuOwgrFgwnSwe7wvlOwwsAwwnSGmwvh0,0*0E|8|3|992356230|1|31|
|!AIVDM,2,1,2,B,8vjHWQP0GwwnfiND1QC;gwvlFR06EuOwgrFgwnSwe7wvlOwwsAwwnSGm,0*66|!AIVDM,2,2,2,B,wvh0,0*4E|8|3|992356230|1|31|
|!AIVDM,2,1,1,A,8@2R5Ph0GhGPgaWfkUC:PPEV<j06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*19|!AIVDM,2,2,1,A,wvwt,0*15|8|1|2655619|1|31|
|!AIVDM,2,1,1,B,8vjHWQP0GwwnfiND1QC;gwvlFR06EuOwgrFgwnSwe7wvlOwwsAwwnSGm,0*65|!AIVDM,2,2,1,B,wvh0,0*4D|8|3|992356230|1|31|
|!AIVDM,2,1,4,B,8vjHWQP0GwwnfiND1QC;gwvlFR06EuOwgrFgwnSwe7wvlOwwsAwwnSGm,0*60|!AIVDM,2,2,4,B,wvh0,0*48|8|3|992356230|1|31|
|!AIVDM,2,1,1,A,8>jCNOh0Gwo`fIHRrAC;gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*18|!AIVDM,2,2,1,A,wvh0,0*4E|8|0|992271999|1|31|
||!AIVDM,1,1,,A,8@2R5Ph0GhGPgaWfkUC:PPEV<j06EuOwgwl?wnSwe7wvlOwwsAwwnSGmwvwt,0*29|8|1|2655619|1|31|
|!AIVDM,2,1,4,A,8>jCNOh0Gwo`fIHRrAC;gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*1D|!AIVDM,2,2,4,A,wvh0,0*4B|8|0|992271999|1|31|
|!AIVDM,2,1,9,A,8>jCNOh0Gwo`fIHRrAC;gwvlFR06EuOwgwl?wnSwe7wvlOwwsAwwnSGm,0*10|!AIVDM,2,2,9,A,wvh0,0*46|8|0|992271999|1|31|
||!AIVDM,1,1,,A,8@2<HV@0Ghau71ePnIC;P`NEnP8v=uFagwl?wnSwe7wvlOwwsAwwnSGmwvh0,0*3F|8|1|2300057|1|31|
|!AIVDM,2,1,6,A,8@2<HV@0Ghfrw1f?8aC9i8hQFP4F1uFKgwl?wnSwe7wvlOwwsAwwnSGm,0*62|!AIVDM,2,2,6,A,wvh0,0*49|8|1|2300057|1|31|
|!AIVDM,2,1,7,A,8@2<HV@0GhhKDqfGLiC9i@lEFP54quFeeWl?wnSwe7wvlOwwsAwwnSGm,0*74|!AIVDM,2,2,7,A,wvh0,0*48|8|1|2300057|1|31|
|!AIVDM,2,1,9,A,8@2<HV@0Ghfrt9f?GIC:?wvlFR06EuOwgquwwnSwe7wvlOwwsAwwnSGm,0*68|!AIVDM,2,2,9,A,wvh0,0*46|8|1|2300057|1|31|
