NMEA|NMEA|NMEA|MSG|REPEAT|MMSI|DAC|FID|
|!AIVDM,2,1,3,A,8030pJh0BjlQ?tNg2rVEOwwwwwwwwwwwwkOTAEwwwwwwwwwwwwwwwwww,0*60|!AIVDM,2,2,3,A,wwt,2*63|8|0|3160171|1|11|
|!AIVDM,2,1,5,A,8030pJh0BjlQ?tNg2rVEOwwwwwwwwwwwwkOTAEwwwwwwwwwwwwwwwwww,0*66|!AIVDM,2,2,5,A,wwt,2*65|8|0|3160171|1|11|
||!AIVDM,1,1,,A,8030pJh0BjlQ?tNg2rVEOwwwwwwwwwwwwkOTAEwwwwwwwwwwwwwwwwwwwww,2*25|8|0|3160171|1|11|
||!AIVDM,1,1,,A,8@2<HV@0BkLfrhhJWJVE2QPv7:OqoweFwwwwwwwwwwwwwwwwwwwwwwwwwt0,2*77|8|1|2300057|1|11|
|!AIVDM,2,1,0,B,8@2<HV@0BkLfrhhJWJVE2QPv7:OqoweFwwww,0*76|!AIVDM,2,2,0,B,wwwwwwwwwwwwwwwwwwwwwt0,2*24|8|1|2300057|1|11|
|!AIVDM,2,1,6,A,8>lEM:h0Bj0Bgkd?krbl0hP100P4p0=T0000At0000000000000000gP,0*7F|!AIVDM,2,2,6,A,D@0,2*26|8|0|994401579|1|11|
|!AIVDM,2,1,5,A,8@2<HVh0BkQdbhW8wrVE10aK=jJ;wweFwwwwwwwwwwwwwwwwwwwwwwww,0*61|!AIVDM,2,2,5,A,wt0,2*22|8|1|2300059|1|11|
|!AIVDM,2,1,5,B,8@2<HVh0BkQdbhW8wrVE10aK=jJ;wweFwwww,0*62|!AIVDM,2,2,5,B,wwwwwwwwwwwwwwwwwwwwwt0,2*21|8|1|2300059|1|11|
||!AIVDM,1,1,,A,8@2<HVh0BkQdbhW8wrVE10aK=jJ;wweFwwwwwwwwwwwwwwwwwwwwwwwwwt0,2*66|8|1|2300059|1|11|
|!AIVDM,2,1,8,A,8@2<HVh0BkQdbhW8wrVE10aK=jJ;wweFwwwwwwwwwwwwwwwwwwwwwwww,0*6C|!AIVDM,2,2,8,A,wt0,2*2F|8|1|2300059|1|11|
